,Energy AdaFT,Energy AdaFT DVFS,Energy All On,Energy DVFS,MTTF AdaFT,MTTF AdaFT DVFS,MTTF All On,MTTF DVFS,Number of Processors,QoC Constraint,Version 1 Execution Time,Version 1 Power,Version 1 WCET,Version 2 Execution Time,Version 2 Power,Version 2 WCET
28,4.48100000000015,3.996000000000284,5.147999999999935,4.572000000000067,9.345628335567692,9.428907332424531,9.257517693888698,9.356970086233588,8,0.15,0.004,10,0.008,0.002,6.0,0.002
29,4.258000000000233,3.833000000000265,4.864000000000015,4.352000000000148,9.37587258990979,9.450463297233364,9.295660168838385,9.38523667225311,9,0.15,0.004,10,0.008,0.002,6.0,0.002
30,4.101000000000297,3.702000000000249,4.63000000000008,4.155000000000216,9.401269260917202,9.468786428078342,9.331077623381363,9.411644411786522,10,0.15,0.004,10,0.008,0.002,6.0,0.002
31,3.9430000000003282,3.5920000000002346,4.4420000000001485,3.999000000000266,9.421194429986185,9.482867448334444,9.35790758105286,9.431556080684002,11,0.15,0.004,10,0.008,0.002,6.0,0.002
32,3.8240000000003103,3.502000000000225,4.273000000000214,3.889000000000261,9.439023117878657,9.495875968755769,9.378415063080265,9.446702678439305,12,0.15,0.004,10,0.008,0.002,6.0,0.002
33,3.7260000000002904,3.4260000000002133,4.131000000000267,3.7790000000002486,9.453236006079983,9.50591176592056,9.399532154072844,9.462416539877314,13,0.15,0.004,10,0.008,0.002,6.0,0.002
34,3.630000000000273,3.3600000000001975,4.039000000000313,3.6920000000002386,9.465780066165784,9.514997980247346,9.41584360682314,9.47450317220611,14,0.15,0.004,10,0.008,0.002,6.0,0.002
35,3.5540000000002623,3.3080000000001903,3.920000000000305,3.60500000000023,9.47617092380104,9.522239101496897,9.428472728442273,9.483815597734527,15,0.15,0.004,10,0.008,0.002,6.0,0.002
36,3.5110000000002533,3.2540000000001843,3.851000000000299,3.5360000000002216,9.486274170460549,9.529709375519918,9.442566781610195,9.49431382396738,16,0.15,0.004,10,0.008,0.002,6.0,0.002
37,3.4520000000002384,3.214000000000176,3.751000000000283,3.472000000000207,9.494265069859765,9.535328822544493,9.453537211321247,9.502413175017601,17,0.15,0.004,10,0.008,0.002,6.0,0.002
38,3.37600000000023,3.1720000000001627,3.682000000000271,3.426000000000206,9.50179770518484,9.540687856229987,9.462002976062541,9.508648525779972,18,0.15,0.004,10,0.008,0.002,6.0,0.002
39,3.342000000000217,3.1410000000001617,3.636000000000266,3.3800000000002,9.508191120664131,9.54521881350877,9.47218454405283,9.51620513054665,19,0.15,0.004,10,0.008,0.002,6.0,0.002
40,3.305000000000213,3.1080000000001515,3.5630000000002497,3.339000000000193,9.514656254290784,9.54996652622673,9.480011934657544,9.52200080295148,20,0.15,0.004,10,0.008,0.002,6.0,0.002
41,3.261000000000203,3.0780000000001464,3.517000000000242,3.2930000000001844,9.519765338554118,9.55353259764605,9.486001247306463,9.526426736609258,21,0.15,0.004,10,0.008,0.002,6.0,0.002
42,3.220000000000192,3.0590000000001476,3.467000000000234,3.252000000000179,9.524769002797091,9.557180168028681,9.493758942340355,9.532156514804715,22,0.15,0.004,10,0.008,0.002,6.0,0.002
43,3.20000000000019,3.035000000000139,3.4210000000002267,3.2290000000001693,9.529361219178423,9.560419274861761,9.499631949827668,9.536502250628082,23,0.15,0.004,10,0.008,0.002,6.0,0.002
44,3.173000000000183,3.006000000000132,3.3980000000002213,3.2060000000001705,9.533485152993288,9.563492224788149,9.504082222036594,9.539778742795972,24,0.15,0.004,10,0.008,0.002,6.0,0.002
45,3.1260000000001704,2.985000000000128,3.3750000000002225,3.165000000000163,9.537459083605135,9.566259514877078,9.510143718400792,9.544293150343481,25,0.15,0.004,10,0.008,0.002,6.0,0.002
